,category,price,quantity,order_date,shipping_date,delivery_status,payment_method,device_type,channel,customer_segment,order_month,order_day,order_hour,shipping_month,shipping_day,shipping_hour,delivery_time
0,Books,45.95,4,2024-04-20 14:59:58.897063,2024-04-27 14:59:58.897063,Shipped,PayPal,Mobile,Paid Search,VIP,4,20,14,4,27,14,7
1,Electronics,403.17,3,2024-04-20 14:59:58.897063,2024-04-22 14:59:58.897063,Delivered,PayPal,Mobile,Paid Search,Returning,4,20,14,4,22,14,2
2,Beauty,317.45,2,2024-04-20 14:59:58.897063,2024-04-27 14:59:58.897063,Shipped,Credit Card,Mobile,Email,Returning,4,20,14,4,27,14,7
3,Home,24.08,3,2024-04-20 14:59:58.897063,2024-04-24 14:59:58.897063,Shipped,PayPal,Tablet,Social,VIP,4,20,14,4,24,14,4
4,Clothing,494.9,1,2024-04-20 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,PayPal,Tablet,Organic,VIP,4,20,14,4,25,14,5
5,Electronics,342.0,1,2024-04-20 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,PayPal,Desktop,Organic,VIP,4,20,14,4,25,14,5
6,Books,281.92,3,2024-04-20 14:59:58.897063,2024-04-23 14:59:58.897063,Delivered,Debit Card,Tablet,Email,VIP,4,20,14,4,23,14,3
7,Home,195.5,1,2024-04-20 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Apple Pay,Mobile,Social,Returning,4,20,14,4,26,14,6
8,Home,445.83,1,2024-04-20 14:59:58.897063,2024-04-21 14:59:58.897063,Shipped,Google Pay,Mobile,Email,Returning,4,20,14,4,21,14,1
9,Toys,317.72,2,2024-04-20 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Apple Pay,Desktop,Email,VIP,4,20,14,4,25,14,5
10,Beauty,480.1,1,2024-04-20 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Apple Pay,Mobile,Organic,VIP,4,20,14,4,26,14,6
11,Toys,64.06,1,2024-04-20 14:59:58.897063,2024-04-21 14:59:58.897063,Delivered,Credit Card,Tablet,Social,VIP,4,20,14,4,21,14,1
12,Home,66.44,1,2024-04-20 14:59:58.897063,2024-04-21 14:59:58.897063,Delivered,Credit Card,Desktop,Organic,Returning,4,20,14,4,21,14,1
13,Electronics,362.51,2,2024-04-20 14:59:58.897063,2024-04-23 14:59:58.897063,Delivered,Credit Card,Mobile,Paid Search,VIP,4,20,14,4,23,14,3
14,Toys,182.64,2,2024-04-20 14:59:58.897063,2024-04-25 14:59:58.897063,Shipped,Credit Card,Mobile,Paid Search,Returning,4,20,14,4,25,14,5
15,Books,373.68,2,2024-04-20 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,PayPal,Desktop,Social,New,4,20,14,4,25,14,5
16,Books,128.86,1,2024-04-20 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Credit Card,Desktop,Email,Returning,4,20,14,4,25,14,5
17,Beauty,102.07,1,2024-04-20 14:59:58.897063,2024-04-21 14:59:58.897063,Returned,Debit Card,Mobile,Email,Returning,4,20,14,4,21,14,1
18,Beauty,39.39,3,2024-04-20 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,PayPal,Mobile,Organic,VIP,4,20,14,4,25,14,5
19,Beauty,128.22,3,2024-04-20 14:59:58.897063,2024-04-22 14:59:58.897063,Delivered,PayPal,Mobile,Social,VIP,4,20,14,4,22,14,2
20,Toys,466.85,1,2024-04-20 14:59:58.897063,2024-04-24 14:59:58.897063,Delivered,PayPal,Desktop,Social,VIP,4,20,14,4,24,14,4
21,Books,480.29,2,2024-04-20 14:59:58.897063,2024-04-24 14:59:58.897063,Pending,Credit Card,Desktop,Paid Search,Returning,4,20,14,4,24,14,4
22,Beauty,73.14,1,2024-04-20 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Google Pay,Mobile,Organic,Returning,4,20,14,4,25,14,5
23,Clothing,166.13,2,2024-04-20 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Google Pay,Desktop,Social,Returning,4,20,14,4,26,14,6
24,Home,21.68,2,2024-04-20 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Apple Pay,Mobile,Organic,Returning,4,20,14,4,25,14,5
25,Home,43.27,1,2024-04-20 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Google Pay,Tablet,Organic,Returning,4,20,14,4,27,14,7
26,Beauty,27.96,3,2024-04-20 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Credit Card,Tablet,Paid Search,VIP,4,20,14,4,26,14,6
27,Electronics,49.22,2,2024-04-20 14:59:58.897063,2024-04-22 14:59:58.897063,Delivered,Apple Pay,Mobile,Organic,VIP,4,20,14,4,22,14,2
28,Electronics,69.72,4,2024-04-20 14:59:58.897063,2024-04-22 14:59:58.897063,Delivered,Apple Pay,Tablet,Paid Search,Returning,4,20,14,4,22,14,2
29,Home,191.53,5,2024-04-21 14:59:58.897063,2024-04-23 14:59:58.897063,Delivered,Google Pay,Desktop,Email,VIP,4,21,14,4,23,14,2
30,Electronics,79.03,6,2024-04-21 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Debit Card,Desktop,Email,VIP,4,21,14,4,27,14,6
31,Electronics,339.78,1,2024-04-21 14:59:58.897063,2024-04-26 14:59:58.897063,Shipped,Credit Card,Desktop,Email,VIP,4,21,14,4,26,14,5
32,Clothing,179.93,2,2024-04-21 14:59:58.897063,2024-04-26 14:59:58.897063,Shipped,Apple Pay,Mobile,Paid Search,VIP,4,21,14,4,26,14,5
33,Beauty,389.15,3,2024-04-21 14:59:58.897063,2024-04-25 14:59:58.897063,Shipped,Google Pay,Mobile,Paid Search,VIP,4,21,14,4,25,14,4
34,Books,498.02,1,2024-04-21 14:59:58.897063,2024-04-25 14:59:58.897063,Shipped,PayPal,Desktop,Paid Search,Returning,4,21,14,4,25,14,4
35,Electronics,133.66,1,2024-04-21 14:59:58.897063,2024-04-23 14:59:58.897063,Delivered,Credit Card,Mobile,Email,VIP,4,21,14,4,23,14,2
36,Books,385.3,2,2024-04-21 14:59:58.897063,2024-04-25 14:59:58.897063,Shipped,Google Pay,Desktop,Organic,Returning,4,21,14,4,25,14,4
37,Home,144.89,6,2024-04-21 14:59:58.897063,2024-04-23 14:59:58.897063,Shipped,PayPal,Mobile,Email,VIP,4,21,14,4,23,14,2
38,Home,484.43,4,2024-04-21 14:59:58.897063,2024-04-22 14:59:58.897063,Delivered,Debit Card,Desktop,Paid Search,Returning,4,21,14,4,22,14,1
39,Books,417.66,2,2024-04-21 14:59:58.897063,2024-04-23 14:59:58.897063,Delivered,PayPal,Tablet,Email,VIP,4,21,14,4,23,14,2
40,Electronics,195.31,3,2024-04-21 14:59:58.897063,2024-04-25 14:59:58.897063,Shipped,Apple Pay,Mobile,Social,Returning,4,21,14,4,25,14,4
41,Toys,73.35,2,2024-04-21 14:59:58.897063,2024-04-22 14:59:58.897063,Delivered,PayPal,Mobile,Social,New,4,21,14,4,22,14,1
42,Electronics,459.02,2,2024-04-21 14:59:58.897063,2024-04-28 14:59:58.897063,Delivered,PayPal,Desktop,Email,Returning,4,21,14,4,28,14,7
43,Electronics,106.85,1,2024-04-21 14:59:58.897063,2024-04-23 14:59:58.897063,Delivered,Credit Card,Mobile,Social,Returning,4,21,14,4,23,14,2
44,Electronics,315.37,3,2024-04-21 14:59:58.897063,2024-04-25 14:59:58.897063,Shipped,Apple Pay,Desktop,Organic,VIP,4,21,14,4,25,14,4
45,Home,276.18,3,2024-04-21 14:59:58.897063,2024-04-23 14:59:58.897063,Returned,Debit Card,Desktop,Email,Returning,4,21,14,4,23,14,2
46,Home,155.57,1,2024-04-21 14:59:58.897063,2024-04-22 14:59:58.897063,Delivered,PayPal,Tablet,Paid Search,Returning,4,21,14,4,22,14,1
47,Electronics,288.41,3,2024-04-21 14:59:58.897063,2024-04-22 14:59:58.897063,Delivered,Apple Pay,Tablet,Paid Search,Returning,4,21,14,4,22,14,1
48,Books,286.85,2,2024-04-21 14:59:58.897063,2024-04-22 14:59:58.897063,Delivered,Credit Card,Tablet,Social,Returning,4,21,14,4,22,14,1
49,Toys,422.03,3,2024-04-21 14:59:58.897063,2024-04-23 14:59:58.897063,Delivered,Apple Pay,Mobile,Email,VIP,4,21,14,4,23,14,2
50,Clothing,241.83,4,2024-04-21 14:59:58.897063,2024-04-24 14:59:58.897063,Shipped,Credit Card,Tablet,Paid Search,VIP,4,21,14,4,24,14,3
